===== monitor start 2026-03-14T14:19:36+00:00 pid=1778900 =====
2026-03-14T14:19:36+00:00 | alive pid=1778900 | 37:56 100 4.4 | gpu_apps=2163777, 5518 MiB;
2026-03-14T14:24:36+00:00 | alive pid=1778900 | 42:56 100 4.4 | gpu_apps=2163777, 5520 MiB;
2026-03-14T14:29:36+00:00 | alive pid=1778900 | 47:56 100 4.4 | gpu_apps=2163777, 5520 MiB;
2026-03-14T14:34:36+00:00 | alive pid=1778900 | 52:56 100 4.4 | gpu_apps=2163777, 5520 MiB;
2026-03-14T14:39:36+00:00 | alive pid=1778900 | 57:56 100 4.4 | gpu_apps=2163777, 5520 MiB;
2026-03-14T14:44:36+00:00 | alive pid=1778900 | 01:02:56 100 4.4 | gpu_apps=2163777, 5520 MiB;
2026-03-14T14:49:36+00:00 | alive pid=1778900 | 01:07:56 100 4.4 | gpu_apps=2163777, 5520 MiB;
2026-03-14T14:54:36+00:00 | alive pid=1778900 | 01:12:56 100 4.4 | gpu_apps=2163777, 5520 MiB;
2026-03-14T14:59:36+00:00 | alive pid=1778900 | 01:17:56 100 4.4 | gpu_apps=2163777, 5520 MiB;
2026-03-14T15:04:36+00:00 | alive pid=1778900 | 01:22:56 100 4.4 | gpu_apps=2163777, 5520 MiB;
2026-03-14T15:09:37+00:00 | alive pid=1778900 | 01:27:56 100 4.4 | gpu_apps=2163777, 5520 MiB;
2026-03-14T15:14:37+00:00 | exited pid=1778900
